ids,target,prediction 
mp-19141,0.28,0.17608489
mp-2019,0.74,0.2390921
mp-21479,-0.81,0.2440501
mp-22631,0.34,0.024087653
mp-24650,0.17,0.30920702
mp-29152,0.28,0.03278105
mp-4563,0.26,0.50145364
mp-510557,0.3,0.62747246
mp-5380,0.2,-0.4296654
mp-556004,0.22,0.19585617
mp-568687,0.26,0.20768599
mp-569376,0.29,0.28439432
mp-6065,0.27,0.3294459
mp-676586,0.32,0.4354698
mp-7761,0.38,0.36042267
mp-811,0.31,0.29359037
mp-8290,0.31,0.1527388
mp-862366,0.31,0.21890809
mp-862705,0.29,0.36600012
mp-862814,0.41,0.4097525
mp-862890,0.42,0.4111609
mp-865167,0.39,0.2503317
mp-866104,0.4,0.3354754
mp-867249,0.24,0.408148
mp-867748,0.3,0.24841271
mp-867887,0.37,0.20109297
mp-8884,0.28,0.27704716
mp-921,0.32,0.2676258
mp-971752,0.23,-0.03962733
mp-971859,0.53,0.13016109
mp-978504,0.27,0.21135153
mp-984717,0.06,0.38057536
mp-1,0.38,0.6746589
mp-1008901,0.4,-0.93361855
mp-1157,0.34,0.8523783
mp-11697,0.21,0.09583597
mp-119,-0.08,0.60113376
mp-12782,0.2,0.30482793
mp-128,0.2,0.7412972
mp-21206,-0.28,0.060923383
mp-23309,0.26,0.016188398
mp-2624,0.25,0.41281992
mp-28233,0.25,0.21930538
mp-29153,0.27,0.3149696
mp-29771,0.33,0.4967847
mp-30079,0.45,0.43343908
mp-4013,0.26,0.1170076
mp-402,0.28,0.7038057
mp-4448,0.19,0.29715955
mp-4466,0.23,0.24737482
mp-4573,0.25,0.013604686
mp-510436,0.39,0.5206253
mp-570099,0.44,0.5730972
mp-571133,0.25,0.29654872
mp-601848,0.28,0.15405689
mp-631318,0.55,0.2711982
mp-631554,12.73,0.9569214
mp-669546,0.31,0.39381403
mp-696128,0.34,0.20187132
mp-7140,0.16,-0.23009795
mp-7755,0.14,-0.09195857
mp-862714,-0.32,0.18520115
mp-972899,0.34,0.13751538
mp-973256,0.0,0.22860827
mp-973841,0.26,0.3704198
mp-976017,0.31,0.3493082
mp-977424,0.21,0.55786467
mp-9810,0.34,0.26931298
mvc-14629,0.22,0.33839488
mp-10064,0.56,0.13493447
mp-1229,0.34,0.044995204
mp-21163,0.4,0.14714085
mp-24161,0.55,-0.7299705
mp-24728,0.28,-0.50579363
mp-2670,0.38,0.37177354
mp-27630,0.12,0.23582013
mp-27632,0.15,0.3094346
mp-3388,0.27,0.1206256
mp-557686,0.31,0.17686765
mp-568823,0.39,0.14250718
mp-568891,0.54,-0.05926086
mp-569149,0.04,0.54556006
mp-569875,0.29,0.17089532
mp-631335,0.31,-0.083642244
mp-642659,0.37,0.36425167
mp-754672,0.34,0.3812294
mp-7596,0.3,0.2528816
mp-862631,0.27,0.31672072
mp-864995,0.26,0.33665842
mp-865011,0.28,0.42495155
mp-8861,0.28,0.4606691
mp-8880,0.27,0.35593134
mp-9517,0.32,0.6201573
mp-975159,0.58,0.039739504
mp-975822,0.29,0.27814394
mp-978988,0.36,0.43023092
mvc-15694,0.24,0.10101764
mp-1008903,0.4,0.6374625
mp-1010953,0.43,0.08327477
mp-1013719,0.28,-0.021060184
mp-1022732,0.34,0.31158966
mp-10739,0.3,0.14088176
mp-113,0.3,0.44989347
mp-1748,0.32,0.1965888
mp-19765,0.25,0.32819515
mp-1990,0.27,0.49481702
mp-21008,0.29,0.45889175
mp-22693,0.23,-0.20434816
mp-2515,0.32,0.06501572
mp-28302,0.3,0.06740545
mp-300,0.32,0.4564187
mp-30181,0.31,0.34095109
mp-30506,0.28,0.5712604
mp-3988,0.32,0.09625842
mp-4195,0.32,0.18091686
mp-4748,0.22,0.07734008
mp-557569,0.23,0.12460546
mp-560203,0.19,0.16847529
mp-569089,0.24,0.21459882
mp-7121,0.28,0.3460943
mp-783905,0.31,0.09155561
mp-8085,0.22,0.11494894
mp-862821,0.43,0.4383964
mp-865041,-1.24,0.29247802
mp-865665,0.3,0.26962727
mp-865992,0.31,0.28825718
mp-962065,0.19,0.29970998
mp-976763,0.3,0.12989901
mp-977200,0.42,0.9567831
mp-977416,0.36,0.18339787
mp-978489,0.28,0.061574176
mp-999204,0.22,0.22644342
mp-1019100,0.24,0.08809991
mp-1021327,0.1,-0.3784255
mp-10752,0.24,0.8757363
mp-10930,0.28,0.20769762
mp-1108,0.23,1.0210804
mp-12067,0.61,0.5752465
mp-13092,0.29,0.35940868
mp-1581,0.18,0.058927283
mp-23141,0.27,0.43642372
mp-2578,0.3,0.14003842
mp-28145,0.28,0.59825295
mp-29151,0.2,0.19633745
mp-30454,0.3,0.34774828
mp-31900,0.36,0.28676313
mp-33551,0.32,0.1429085
mp-5339,0.3,0.14089672
mp-567856,0.32,0.6076495
mp-5821,0.3,0.27604842
mp-754596,0.46,0.198148
mp-7608,0.29,-0.044180557
mp-764648,0.23,0.15158068
mp-7812,0.1,-0.04784538
mp-781625,0.31,0.32273257
mp-862446,0.27,0.40324742
mp-865499,0.3,0.32410556
mp-865924,0.45,0.74478465
mp-867800,0.36,0.3590545
mp-982780,0.11,0.04505302
mp-9884,0.31,0.32350463
mp-995122,0.18,0.4031456
mvc-4415,0.36,0.18646838
mp-1099,0.3,0.4559403
mp-1180,0.32,0.044980362
mp-12765,0.33,0.5393425
mp-1561,0.34,0.31410414
mp-15845,0.27,0.092685595
mp-16496,0.31,0.39241505
mp-17892,0.28,0.63661796
mp-21481,0.28,0.48628044
mp-2242,0.18,0.039478853
mp-24066,0.28,0.66383237
mp-28627,0.27,0.4167897
mp-29868,0.29,0.12014811
mp-3190,0.22,0.31215143
mp-3759,0.26,-0.008010671
mp-4860,0.32,0.48409337
mp-5127,0.3,0.57108593
mp-5292,0.27,0.25284147
mp-569548,0.4,0.5663695
mp-5773,0.33,0.007341668
mp-634751,0.22,-1.4887457
mp-7349,0.26,0.2272291
mp-754218,0.36,0.11633305
mp-768241,0.32,0.055242583
mp-8181,0.25,0.32995617
mp-865952,0.49,0.36480457
mp-867979,0.43,0.31525248
mp-961691,0.71,-0.011474624
mp-977375,0.26,0.4960962
mp-9778,0.29,0.380763
mp-983425,0.29,0.3264817
mp-984523,0.1,-0.038530394
mp-10008,0.78,0.526631
mp-1008999,0.14,0.4194594
mp-1011375,0.22,0.21397357
mp-1016442,0.27,0.6912454
mp-1017629,0.37,0.48017454
mp-1018683,0.33,0.22393392
mp-10250,0.25,0.09564461
mp-1335,0.36,0.14734678
mp-1667,0.38,0.17700557
mp-1808,0.38,0.95760864
mp-31080,0.21,0.27009177
mp-4664,0.46,0.47133577
mp-644483,0.4,0.3661685
mp-752927,0.35,0.099816635
mp-755144,0.23,0.25120693
mp-779328,0.38,0.19044693
mp-8136,0.3,0.14227597
mp-861646,0.44,0.33863842
mp-863707,0.24,0.16217868
mp-865023,0.3,0.064652786
mp-867978,0.36,0.22723533
mp-8995,0.31,0.27099824
mp-962070,0.58,0.52637035
mp-972069,0.27,6.7956233
mp-979421,0.29,0.17814188
mp-1007657,0.31,0.22365917
mp-1025208,0.23,0.5016439
mp-1029536,0.3,0.45866662
mp-1725,0.27,0.101565376
mp-1784,0.3,0.30664873
mp-18852,0.27,0.20301022
mp-20025,0.21,0.27161795
mp-20523,0.19,0.102436975
mp-21202,0.27,0.2580381
mp-27731,0.4,0.6550147
mp-30591,0.26,0.21498002
mp-31442,0.5,0.24925415
mp-3849,0.34,0.14712317
mp-4156,0.26,0.054013416
mp-559931,0.06,0.10930224
mp-565,0.31,0.19465525
mp-567510,0.27,0.3638118
mp-567589,0.18,0.47502714
mp-5690,0.29,0.11913596
mp-570155,0.25,0.2295473
mp-571188,0.27,0.40961772
mp-580226,0.45,0.35121602
mp-626794,0.36,0.61233073
mp-6326,0.32,0.31289786
mp-634431,0.31,0.55553716
mp-642363,-0.01,0.39016473
mp-755877,0.26,0.012523234
mp-8126,0.23,0.35617518
mp-8267,0.45,0.04430063
mp-8634,0.3,0.46427208
mp-989460,0.46,1.231449
mp-1007974,0.28,0.3619303
mp-1009878,1.1,0.5475453
mp-11539,0.28,0.36542475
mp-13431,0.35,0.1713988
mp-16566,0.33,0.45918107
mp-18807,0.41,0.16677506
mp-20202,0.23,0.104466304
mp-20761,0.26,0.2162231
mp-20790,0.24,0.13429318
mp-20932,0.3,0.0788867
mp-21028,0.36,0.3204146
mp-21201,0.31,0.3045987
mp-22346,0.28,0.25733978
mp-22648,0.33,0.2524975
mp-22872,0.24,-0.16246934
mp-24722,0.36,0.30248922
mp-2688,0.26,0.26342076
mp-30582,0.46,0.17484023
mp-3448,0.23,0.04356174
mp-361,0.46,0.5481944
mp-3834,0.24,0.083709165
mp-398,0.34,-0.16416368
mp-4964,0.29,0.4825344
mp-539,0.2,0.21144108
mp-674334,0.29,0.18471242
mp-684673,0.78,0.23052059
mp-7142,0.41,0.52736586
mp-754134,0.3,0.09525399
mp-755769,0.37,0.085813984
mp-8435,-0.4,0.013162658
mp-862360,0.35,0.08919321
mp-864945,0.28,0.250583
mp-864997,0.38,0.32202077
mp-865434,0.3,0.23874263
mp-867263,0.39,0.33713067
mp-972767,0.55,0.3511411
mp-977283,0.34,0.3063233
mp-999296,0.4,0.65588254
mp-1009008,0.27,0.35443276
mp-1009746,0.38,0.21919881
mp-13949,0.26,0.32459658
mp-1571,0.3,0.56083304
mp-16730,0.54,-0.3438903
mp-16765,0.22,-0.112141535
mp-1876,0.47,-0.038979396
mp-20228,0.43,0.21996017
mp-20608,0.31,0.44702095
mp-22522,0.26,0.14764489
mp-27257,0.33,0.09084101
mp-30337,0.19,0.2284029
mp-30358,0.33,1.1182919
mp-30797,0.29,0.11214267
mp-36329,0.34,-0.04070045
mp-37381,0.3,-0.06874412
mp-5170,0.28,0.046767756
mp-551758,-0.05,-0.080505565
mp-560340,0.33,0.2280853
mp-569360,0.3,0.98756164
mp-571039,0.31,0.14842345
mp-604313,1.22,0.58029616
mp-628606,0.3,0.23746417
mp-631377,0.21,0.35052913
mp-7523,0.3,-0.0058264136
mp-7936,0.22,0.31711692
mp-7951,0.34,0.37145263
mp-846,0.25,0.30864072
mp-862424,0.3,0.39412385
mp-864930,0.32,0.4283517
mp-864992,0.32,0.35087162
mp-865138,0.31,0.4573441
mp-867252,0.32,0.29305446
mp-867985,0.39,0.413211
mp-9514,0.22,0.053469196
mp-961679,0.5,0.34841067
mp-9665,0.32,0.31595826
mp-980392,0.36,0.14263256
mp-997025,0.42,0.49790466
mp-9986,0.33,0.29731566
mp-1002227,0.64,0.06457262
mp-1008653,0.45,0.2638921
mp-1025390,0.24,0.15956934
mp-1025421,0.34,0.31919104
mp-1077723,0.31,0.7193919
mp-12665,0.37,0.30610245
mp-15659,0.41,0.6415145
mp-17413,0.34,0.4725917
mp-19094,0.28,0.14381899
mp-195,0.32,0.5027665
mp-19928,0.29,0.2421494
mp-22749,0.28,-0.3744418
mp-29145,0.27,0.11999826
mp-29733,0.29,0.45521563
mp-7173,0.29,0.5002159
mp-7457,0.25,0.060328946
mp-753192,0.22,0.35290492
mp-771055,0.28,0.04085134
mp-861993,0.35,0.3700863
mp-865615,0.3,0.37373662
mp-867828,0.36,0.25957286
mp-867837,0.33,0.080398574
mp-924129,0.29,1.256645
mp-952566,0.27,0.2633764
mp-972323,0.27,0.4611662
mp-974060,0.78,0.4179318
mp-974738,0.33,0.1217726
mp-975640,0.24,0.6813811
mp-975909,0.38,0.30799544
mp-982739,0.35,0.21921436
mp-1002574,0.31,0.3537442
mp-1008924,0.3,0.26316
mp-1009650,0.43,0.2753585
mp-1009747,0.91,0.19666971
mp-1018690,0.18,0.26600403
mp-10440,0.37,-0.09275246
mp-10623,0.33,0.84763926
mp-10760,0.22,0.48377126
mp-10785,0.23,0.19239835
mp-1139,0.28,0.31109005
mp-11496,0.28,-0.29982698
mp-14099,0.36,0.14130984
mp-19789,0.25,0.30725092
mp-20425,0.19,0.50397134
mp-22817,-0.1,0.23246805
mp-29056,0.02,0.22244434
mp-35869,0.28,0.6370135
mp-36800,0.21,0.32456052
mp-37879,0.25,0.3062262
mp-3854,0.25,0.27882463
mp-4415,0.27,0.18647371
mp-4913,0.4,0.2911502
mp-5219,0.29,0.27195156
mp-570213,0.22,1.3935429
mp-753,0.25,0.1686665
mp-754322,0.28,0.32283926
mp-7692,0.19,0.22247691
mp-775331,0.22,0.024307191
mp-8539,-0.26,0.21136276
mp-862711,0.3,0.2495598
mp-8637,0.56,0.2501012
mp-867847,0.61,0.3604967
mp-977425,0.34,0.2887947
mp-982595,0.56,0.17387621
mp-1007664,0.4,0.58015984
mp-1008752,-0.14,0.3568403
mp-1009218,0.47,0.592885
mp-10163,0.4,0.13264383
mp-1029660,0.3,0.5389479
mp-10597,0.36,1.2667664
mp-12063,0.29,0.16179727
mp-129,0.3,0.31671005
mp-13548,0.33,0.26446527
mp-18817,0.25,0.26560408
mp-21200,-0.28,0.071939215
mp-22367,0.38,0.28063583
mp-22626,0.27,0.28663617
mp-23710,0.22,0.3726951
mp-2691,0.35,0.7431336
mp-3744,0.23,0.19376926
mp-542640,0.33,0.32696414
mp-554573,0.05,0.008103713
mp-555934,0.33,0.24276195
mp-567458,0.24,0.1831777
mp-672265,0.34,0.032326594
mp-690544,0.31,0.1545016
mp-7426,0.28,0.39119673
mp-753781,0.28,0.28394753
mp-862492,0.33,0.19488816
mp-865587,0.32,0.37561613
mp-865731,0.39,0.39743894
mp-866189,0.25,0.47256523
mp-8804,0.18,0.3176905
mp-9060,0.35,0.23509102
mp-9254,0.21,0.23275425
mp-9486,0.27,0.2230696
mp-962069,0.53,-0.17239122
mp-973432,0.34,0.26907223
mp-973865,0.25,0.36496544
mp-974063,0.34,0.3570181
mp-976082,0.28,-0.077025354
mp-976129,0.3,0.23133071
mp-9768,0.31,0.122394636
mp-979074,0.41,0.26438868
mp-989590,-0.55,-0.13020316
mp-9960,0.17,0.31583977
mp-1008642,0.28,0.2518279
mp-1019,0.33,0.2875628
mp-1025263,0.23,0.5023245
mp-12985,0.34,0.28870237
mp-14092,0.33,0.41527694
mp-1716,0.31,0.23021434
mp-19862,0.34,0.739147
mp-20618,0.31,0.13647185
mp-20627,0.19,0.1950878
mp-2665,0.46,0.25059044
mp-27214,0.31,0.040081725
mp-291,0.27,0.6268405
mp-339,0.37,0.29912055
mp-4630,0.31,0.088516995
mp-684692,0.24,0.39130938
mp-7377,0.24,0.09620194
mp-774155,0.24,-0.03644599
mp-861954,0.34,0.3422162
mp-865669,0.33,0.2374516
mp-866175,0.33,0.33613807
mp-972914,0.33,0.25282484
mp-975364,0.35,0.31786203
mp-977380,0.25,0.41341484
mp-1013526,0.17,0.07046376
mp-10749,0.21,0.30888522
mp-11594,0.31,0.31516975
mp-11658,0.32,0.40372562
mp-1210,0.27,0.9959112
mp-12953,0.33,0.33349073
mp-14763,0.26,0.3929258
mp-15799,0.27,0.16929118
mp-15986,0.29,0.38342112
mp-2283,0.35,0.07154672
mp-29243,0.2,0.19329129
mp-3329,0.33,0.20217319
mp-37906,0.17,0.6587284
mp-4287,0.3,0.25148618
mp-4321,0.21,0.08691685
mp-510409,0.25,0.28393435
mp-559691,0.28,0.23590906
mp-570418,0.23,0.18004741
mp-625,0.29,0.122997895
mp-631398,-0.32,0.2794217
mp-631497,0.65,0.8147014
mp-7000,-0.0,0.45057523
mp-862340,0.27,0.06936698
mp-865433,0.37,0.5222087
mp-865795,0.33,0.32589102
mp-971799,0.34,0.34179217
mp-973564,1.01,0.2885326
mp-976870,0.34,0.48717624
mp-978513,0.28,0.2534623
mp-981368,0.93,0.26722413
mp-999126,0.22,0.055524483
mp-1007690,0.4,0.19300307
mp-1019255,0.27,0.2682948
mp-10652,0.24,0.38302225
mp-1087,0.22,0.085755005
mp-11073,0.3,0.4830255
mp-11555,0.47,0.63063574
mp-11870,0.31,0.31647837
mp-18750,0.33,0.073593065
mp-21104,0.32,0.2302533
mp-21445,0.32,0.20262243
mp-23317,0.16,0.42521554
mp-27421,0.27,0.14691953
mp-28376,0.31,0.43357295
mp-30658,0.42,0.40524256
mp-3207,0.29,0.27214772
mp-381,0.31,0.34014922
mp-568232,0.27,0.5523122
mp-568436,0.24,0.57071733
mp-570791,0.16,-0.1301666
mp-578,0.38,-0.013638392
mp-7240,0.41,0.056570068
mp-729,0.24,0.40656388
mp-865957,0.42,0.35008115
mp-867744,0.3,0.35351843
mp-961658,0.35,0.112676606
mp-971720,0.93,-0.35519254
mp-973396,0.74,0.20877336
mp-979026,0.24,0.25497228
mp-982869,0.27,0.37738353
mp-999269,0.25,0.05903171
mp-1008965,0.49,0.28517628
mp-1018752,0.3,0.18636928
mp-1029420,0.28,0.17358296
mp-10379,0.28,0.38744777
mp-10777,0.25,0.21735667
mp-11566,0.27,0.62623036
mp-12903,0.29,0.18332766
mp-19328,0.32,0.03244883
mp-20735,0.23,0.21260141
mp-2077,0.31,0.40271217
mp-22537,0.4,0.1749114
mp-2649,0.48,0.28771204
mp-30341,0.32,0.586482
mp-3047,0.51,0.21303438
mp-317,0.33,0.109799996
mp-3700,0.32,0.11826675
mp-42,0.36,0.168573
mp-510536,0.32,0.16046868
mp-561598,0.37,0.2974524
mp-567540,0.38,3.2116234
mp-568718,0.2,0.15311886
mp-7247,0.29,0.32596493
mp-7302,0.18,0.28604293
mp-756630,0.25,0.07116775
mp-864884,0.36,0.28859633
mp-865098,0.39,0.3631689
mp-866160,0.35,0.5139677
mp-867876,0.38,0.40434122
mp-977442,0.24,0.48428768
mp-997054,0.31,0.54693216
mp-10078,0.32,0.45444858
mp-1008282,-0.13,-0.077559724
mp-1008349,0.28,0.36202812
mp-1017539,0.39,0.3404554
mp-1018033,0.37,0.29783595
mp-11385,0.23,0.24879237
mp-11820,0.21,0.04201655
mp-13396,0.26,0.3544197
mp-13983,0.22,0.06326507
mp-20892,0.25,0.048791483
mp-22514,0.29,0.077096924
mp-22790,0.31,0.13263582
mp-23237,0.26,0.123382226
mp-23505,-1.13,0.36429632
mp-31171,0.38,0.3347721
mp-3513,0.19,0.22576778
mp-38280,0.21,0.24617492
mp-5326,0.17,0.06378384
mp-568991,0.22,0.10194977
mp-570430,0.31,0.08306123
mp-5934,0.21,0.26378512
mp-607371,0.28,0.23888709
mp-770649,0.23,0.5605574
mp-773044,0.33,-0.011896014
mp-7988,0.32,0.20205133
mp-862974,0.65,0.4336344
mp-865521,0.25,0.5788428
mp-867257,0.29,0.33707786
mp-972949,0.29,0.42007023
mp-972954,0.33,0.29561746
mp-978089,0.38,0.33179635
mp-978596,0.31,0.2402867
mp-983237,0.57,0.10561229
mp-983509,0.32,0.40871876
mp-983555,0.35,0.2662924
mp-10120,0.54,0.35540688
mp-1018142,0.46,0.6215978
mp-10213,0.3,0.26699293
mp-11517,0.3,0.47407287
mp-1249,0.27,0.13956495
mp-13365,0.27,0.06723465
mp-1447,0.34,0.24776174
mp-1804,0.3,0.4577853
mp-20590,0.37,0.30994338
mp-20901,0.29,0.365346
mp-22782,0.67,0.16516547
mp-27294,-0.15,-0.12440294
mp-27971,0.28,0.3062563
mp-31467,0.35,0.53604
mp-559435,0.29,0.20474435
mp-569683,0.43,0.20404424
mp-614185,0.29,0.31304592
mp-631319,0.68,0.20834552
mp-631383,0.42,0.31963634
mp-631467,0.96,0.35314488
mp-631535,0.41,0.24681325
mp-684663,0.86,1.0166447
mp-697126,0.28,0.444367
mp-763099,0.21,0.19331335
mp-861901,0.33,0.1801955
mp-861931,0.3,0.39645398
mp-865985,0.36,0.6042499
mp-867131,0.29,0.24644713
mp-973646,0.34,0.3698619
mp-977430,0.34,0.41423023
mp-978281,0.28,1.3071518
mp-982724,0.35,0.26622164
mp-985283,0.42,0.55857915
mp-9922,0.23,-0.1884297
mp-10026,0.27,0.4605189
mp-1013714,0.28,0.10638718
mp-1016879,0.31,0.20172857
mp-1025335,0.25,0.7072652
mp-1029422,0.33,0.41516
mp-10871,0.57,0.29623753
mp-11202,0.25,0.29064614
mp-12700,0.32,0.19658212
mp-13074,0.29,0.31876355
mp-13311,0.2,0.27755594
mp-136,0.24,0.014540926
mp-13911,0.35,0.14244471
mp-143,0.22,0.39002168
mp-1451,0.34,0.40229088
mp-15322,0.22,0.6137835
mp-1654,0.35,0.26039314
mp-1814,0.38,0.34051162
mp-18257,0.33,-0.088010326
mp-19851,0.21,0.28708488
mp-20352,0.31,0.27987045
mp-20479,0.26,0.27820718
mp-21347,0.26,0.104500994
mp-2484,0.42,0.06368928
mp-28872,0.24,0.07806815
mp-29889,0.31,0.3591481
mp-30183,0.22,0.36184567
mp-30592,0.43,0.24228112
mp-3494,0.33,0.3706525
mp-362,0.31,0.31994045
mp-3623,0.27,0.17848511
mp-3829,0.29,0.4630109
mp-415,0.25,0.3880539
mp-464,0.36,0.50566125
mp-4728,0.31,0.31289488
mp-4744,0.29,0.37357354
mp-547271,0.28,0.18334256
mp-5503,0.3,0.05714242
mp-554822,0.16,0.24432026
mp-571343,0.24,0.22693042
mp-580287,0.39,0.08792801
mp-5982,0.31,0.3068074
mp-606604,0.35,0.18811153
mp-639874,0.35,0.19803353
mp-755690,0.29,0.18242954
mp-7851,0.28,0.007789418
mp-8180,0.24,0.040330395
mp-864647,0.21,0.21117084
mp-864654,0.34,0.3460974
mp-865717,0.29,0.2026944
mp-866165,0.31,0.2559603
mp-961694,0.61,-0.024942055
mp-962075,-0.09,-0.25212494
mp-977589,0.32,0.20953964
mp-1025372,0.3,0.2547099
mp-1523,0.24,0.75653046
mp-20211,0.29,0.16478
mp-20724,0.26,1.4815023
mp-215,0.24,0.24528395
mp-2182,0.37,-0.20704624
mp-2348,0.33,3.1337132
mp-2802,0.29,0.3880915
mp-30621,0.26,0.38534337
mp-333,0.28,0.25469887
mp-33526,0.23,0.18404676
mp-3574,0.34,0.2338833
mp-5012,0.23,-0.0010886639
mp-510417,0.19,0.14595409
mp-510421,0.24,0.308734
mp-5193,0.28,0.12088244
mp-522,0.4,0.44949752
mp-5244,0.24,0.37028813
mp-5348,0.25,-0.32247114
mp-551830,0.25,0.4899394
mp-567630,0.27,0.31182343
mp-571491,0.35,0.1837207
mp-672698,0.61,0.36039138
mp-675477,0.26,-0.03999065
mp-7480,0.26,0.17225821
mp-755313,0.3,0.541646
mp-776320,0.41,0.22226013
mp-793,0.22,0.25066435
mp-862872,0.46,0.357813
mp-864955,0.24,0.02587229
mp-864990,0.27,0.16659899
mp-865000,0.14,0.47847706
mp-9387,0.23,0.26454943
mp-945184,0.29,0.14968376
mp-972103,0.31,0.2985304
mp-989570,0.27,0.21520968
mp-1025246,0.2,0.06783043
mp-10709,0.91,0.22347064
mp-10847,0.28,0.37682515
mp-11833,0.39,0.03806089
mp-13200,0.19,0.29741484
mp-13570,0.23,0.19709383
mp-18966,0.36,0.15457003
mp-20418,0.35,0.30045307
mp-20605,0.3,0.0688981
mp-20619,0.31,0.23133938
mp-20745,0.39,0.34016567
mp-21873,0.29,0.545412
mp-2463,0.25,0.1498286
mp-27608,0.25,0.19408144
mp-28929,0.36,-0.0024866164
mp-3896,0.34,-0.9296445
mp-4076,0.33,0.6253521
mp-438,0.29,0.006178871
mp-505259,0.27,0.16092329
mp-5163,0.35,0.21992706
mp-557257,0.29,0.2772448
mp-560562,0.27,0.22009154
mp-604516,0.33,0.31878597
mp-7339,0.27,-0.052055955
mp-754808,0.26,0.35227364
mp-754978,0.35,0.28922552
mp-774092,0.35,0.1279632
mp-8053,0.31,0.3723988
mp-8320,0.24,0.17673855
mp-849060,0.18,0.19876061
mp-8579,0.32,0.07604514
mp-865230,0.3,0.23926567
mp-961692,1.61,0.14510499
mp-995147,0.58,0.3307402
mp-999096,0.3,0.19484113
mp-1010,0.15,0.28299916
mp-1014212,0.32,0.31324023
mp-1016930,0.3,0.01977913
mp-10270,0.3,0.10915901
mp-15318,0.25,0.3858118
mp-16481,0.3,0.30490512
mp-18875,0.28,-0.010242939
mp-20937,0.28,-0.19328184
mp-23282,0.17,0.6153246
mp-27246,0.34,0.029258877
mp-2748,0.21,0.26323444
mp-29342,0.24,-0.51393074
mp-3289,0.32,0.157308
mp-3595,0.24,0.40579087
mp-4206,0.3,0.11469816
mp-4820,0.3,0.30872852
mp-560865,0.12,0.25111687
mp-571342,0.23,3.1856065
mp-571555,0.28,0.44723088
mp-623646,0.51,0.18598501
mp-631495,0.14,0.023370907
mp-642750,0.29,0.109408215
mp-672337,0.44,0.22876768
mp-672340,0.33,0.3672608
mp-675634,0.33,-0.09943859
mp-680580,0.29,0.23286621
mp-7575,0.21,-0.14545785
mp-864780,0.42,0.42678124
mp-865578,0.23,0.21943657
mp-972882,0.35,0.323776
mp-972966,0.36,0.228
mp-974642,0.29,0.41902673
mp-975222,0.5,0.1590261
mp-996960,0.32,0.14472313
mp-999274,-0.67,-0.30999744
mp-11329,0.25,0.45130068
mp-11350,0.23,0.32609493
mp-11359,0.29,0.43157363
mp-12071,0.33,0.32594502
mp-20233,0.4,0.09382309
mp-27455,0.33,0.37729567
mp-37091,0.25,0.15378596
mp-4495,0.31,0.15121357
mp-5427,0.27,-0.45724022
mp-568555,0.25,0.2938928
mp-570287,0.27,0.194153
mp-7582,0.23,0.13124771
mp-762268,0.24,0.048831895
mp-768358,0.33,0.12735288
mp-7930,0.27,0.65855664
mp-864961,0.45,0.30669028
mp-865002,0.34,0.426789
mp-865444,0.32,0.22744136
mp-867243,0.33,0.2768113
mp-9325,0.25,0.55576235
mp-975053,-0.84,-0.03787218
mp-976872,0.29,0.43589008
mp-980006,0.44,0.37323827
mp-980068,0.34,0.281866
mp-985439,0.26,0.2130182
mp-1002228,0.66,0.5220302
mp-1016108,0.34,0.37222022
mp-1017000,0.33,-0.06036772
mp-12614,0.29,0.044702128
mp-250,0.36,0.2529437
mp-27304,0.23,0.5597383
mp-27691,0.26,0.41823864
mp-3173,0.22,-0.52792794
mp-3455,0.25,0.105370775
mp-5104,0.35,0.09368615
mp-510404,0.32,0.033376947
mp-567981,0.32,0.0401444
mp-5928,0.26,0.3919832
mp-714885,0.26,0.13603894
mp-776083,0.24,0.13987152
mp-776165,0.31,0.047894344
mp-7859,0.34,0.2850393
mp-861896,0.41,0.39151716
mp-862549,0.47,0.26611418
mp-862761,0.44,0.2600723
mp-864599,0.4,0.3328517
mp-864610,0.27,0.25218815
mp-864770,0.25,0.23344819
mp-865107,0.47,0.81339437
mp-865125,0.28,0.13679342
mp-865248,0.32,0.3070724
mp-865664,0.28,0.2249199
mp-866075,0.17,0.25927174
mp-951,0.39,0.16754155
mp-973571,0.25,-0.37752837
mp-975292,0.24,0.012064353
mp-975390,0.3,0.25244474
mp-1001834,0.31,0.32484174
mp-1009206,0.86,0.44398004
mp-1013555,0.21,0.51046425
mp-1025378,0.23,0.4024502
mp-1032,0.21,0.33823848
mp-10953,0.35,0.09606613
mp-12061,0.29,0.34288758
mp-12657,0.21,0.20941128
mp-1557,0.28,0.24693982
mp-16336,0.26,0.3264951
mp-20801,0.52,0.5077313
mp-21413,0.27,0.2508247
mp-2206,0.38,0.118954316
mp-22961,0.29,0.33608657
mp-23253,0.47,0.053062066
mp-2838,0.31,0.19982986
mp-4840,0.29,0.46405584
mp-4936,0.46,0.29645652
mp-568505,0.22,-0.38421196
mp-754084,0.32,0.2866996
mp-8310,0.34,0.2796721
mp-8426,0.28,0.4064656
mp-862318,0.26,0.35903013
mp-867821,0.32,0.2786671
mp-867838,-0.16,0.37712032
mp-9158,0.29,0.26329792
mp-973622,0.14,0.059659407
mp-973636,0.26,0.29515475
mp-973652,0.38,0.20097755
mp-973785,0.52,0.48678428
mp-975236,0.11,0.21398868
mp-976588,0.23,0.7077825
mp-977,0.36,0.20533825
mp-977230,0.35,0.39965165
mp-977239,0.4,0.32864946
